,Unnamed: 0,textnr,tokenindex,token,polarity_score,sentiment
0,1,3,1,The,0.0,Neutral
1,2,3,2,Amazon,0.1779,Positive
2,3,3,3,Rainforest,0.0,Neutral
3,4,3,4,is,0.0,Neutral
4,5,3,5,one,0.0,Neutral
5,6,3,6,of,0.0,Neutral
6,7,3,7,the,0.0,Neutral
7,8,3,8,most,0.0,Neutral
8,9,3,9,important,0.2023,Positive
9,10,3,10,ecosystems,0.0,Neutral
10,11,3,11,in,0.0,Neutral
11,12,3,12,the,0.0,Neutral
12,13,3,13,world.,0.0,Neutral
13,14,3,14,"However,",0.0,Neutral
14,15,3,15,it,0.0,Neutral
15,16,3,16,is,0.0,Neutral
16,17,3,17,slowly,0.0,Neutral
17,18,3,18,being,0.0,Neutral
18,19,3,19,destroyed.,-0.4939,Negative
19,20,3,20,Areas,0.0,Neutral
20,21,3,21,of,0.0,Neutral
21,22,3,22,the,0.0,Neutral
22,23,3,23,rainforest,0.0,Neutral
23,24,3,24,are,0.0,Neutral
24,25,3,25,being,0.0,Neutral
25,26,3,26,cleared,0.1027,Positive
26,27,3,27,for,0.0,Neutral
27,28,3,28,farms,0.0,Neutral
28,29,3,29,and,0.0,Neutral
29,30,3,30,"roads,",0.0,Neutral
30,31,3,31,and,0.0,Neutral
31,32,3,32,much,0.0,Neutral
32,33,3,33,of,0.0,Neutral
33,34,3,34,the,0.0,Neutral
34,35,3,35,wood,0.0,Neutral
35,36,3,36,is,0.0,Neutral
36,37,3,37,also,0.0,Neutral
37,38,3,38,being,0.0,Neutral
38,39,3,39,harvested,0.0,Neutral
39,40,3,40,and,0.0,Neutral
40,41,3,41,sold.,0.0,Neutral
41,42,3,42,There,0.0,Neutral
42,43,3,43,are,0.0,Neutral
43,44,3,44,several,0.0,Neutral
44,45,3,45,compelling,0.2263,Positive
45,46,3,46,reasons,0.0,Neutral
46,47,3,47,to,0.0,Neutral
47,48,3,48,protect,0.3818,Positive
48,49,3,49,this,0.0,Neutral
49,50,3,50,area.,0.0,Neutral
50,51,3,51,"First,",0.0,Neutral
51,52,3,52,a,0.0,Neutral
52,53,3,53,significant,0.2023,Positive
53,54,3,54,number,0.0772,Positive
54,55,3,55,of,0.0,Neutral
55,56,3,56,pharmaceuticals,0.0,Neutral
56,57,3,57,are,0.0,Neutral
57,58,3,58,made,0.0,Neutral
58,59,3,59,from,0.0,Neutral
59,60,3,60,plants,0.0,Neutral
60,61,3,61,that,0.0,Neutral
61,62,3,62,have,0.0,Neutral
62,63,3,63,been,0.0,Neutral
63,64,3,64,discovered,0.0,Neutral
64,65,3,65,in,0.0,Neutral
65,66,3,66,the,0.0,Neutral
66,67,3,67,"rainforest,",0.0,Neutral
67,68,3,68,and,0.0,Neutral
68,69,3,69,it's,0.0,Neutral
69,70,3,70,quite,0.0,Neutral
70,71,3,71,possible,0.0,Neutral
71,72,3,72,there,0.0,Neutral
72,73,3,73,are,0.0,Neutral
73,74,3,74,still,0.0,Neutral
74,75,3,75,important,0.2023,Positive
75,76,3,76,plants,0.0,Neutral
76,77,3,77,that,0.0,Neutral
77,78,3,78,have,0.0,Neutral
78,79,3,79,not,0.0,Neutral
79,80,3,80,yet,0.0,Neutral
80,81,3,81,been,0.0,Neutral
81,82,3,82,discovered.,0.0,Neutral
82,83,3,83,"Secondly,",0.0,Neutral
83,84,3,84,the,0.0,Neutral
84,85,3,85,rainforest,0.0,Neutral
85,86,3,86,provides,0.0,Neutral
86,87,3,87,a,0.0,Neutral
87,88,3,88,significant,0.2023,Positive
88,89,3,89,portion,0.0,Neutral
89,90,3,90,of,0.0,Neutral
90,91,3,91,the,0.0,Neutral
91,92,3,92,world's,0.0,Neutral
92,93,3,93,oxygen,0.0,Neutral
93,94,3,94,and,0.0,Neutral
94,95,3,95,also,0.0,Neutral
95,96,3,96,absorbs,0.0,Neutral
96,97,3,97,great,0.6249,Positive
97,98,3,98,amounts,0.0,Neutral
98,99,3,99,of,0.0,Neutral
99,100,3,100,carbon,0.0,Neutral
100,101,3,101,dioxide.,0.0,Neutral
101,102,3,102,Without,0.0,Neutral
102,103,3,103,"rainforests,",0.0,Neutral
103,104,3,104,global,0.0,Neutral
104,105,3,105,warming,0.1531,Positive
105,106,3,106,could,0.0,Neutral
106,107,3,107,accelerate.,0.0,Neutral
