,Unnamed: 0,textnr,tokenindex,token,vader_score,vader_polarity
0,1,7,1,A,0.0,Neutral
1,2,7,2,bird's,0.0,Neutral
2,3,7,3,feathers,0.0,Neutral
3,4,7,4,are,0.0,Neutral
4,5,7,5,extremely,0.0,Neutral
5,6,7,6,"important,",0.2023,Positive
6,7,7,7,and,0.0,Neutral
7,8,7,8,when,0.0,Neutral
8,9,7,9,they,0.0,Neutral
9,10,7,10,clean,0.4019,Positive
10,11,7,11,and,0.0,Neutral
11,12,7,12,smooth,0.0,Neutral
12,13,7,13,"them,",0.0,Neutral
13,14,7,14,it,0.0,Neutral
14,15,7,15,is,0.0,Neutral
15,16,7,16,known,0.0,Neutral
16,17,7,17,as,0.0,Neutral
17,18,7,18,preening.,0.0,Neutral
18,19,7,19,Birds,0.0,Neutral
19,20,7,20,in,0.0,Neutral
20,21,7,21,the,0.0,Neutral
21,22,7,22,wild,0.0,Neutral
22,23,7,23,preen,0.0,Neutral
23,24,7,24,their,0.0,Neutral
24,25,7,25,feathers,0.0,Neutral
25,26,7,26,on,0.0,Neutral
26,27,7,27,a,0.0,Neutral
27,28,7,28,regular,0.0,Neutral
28,29,7,29,basis.,0.0,Neutral
29,30,7,30,This,0.0,Neutral
30,31,7,31,is,0.0,Neutral
31,32,7,32,true,0.4215,Positive
32,33,7,33,of,0.0,Neutral
33,34,7,34,most,0.0,Neutral
34,35,7,35,captive,0.0,Neutral
35,36,7,36,birds,0.0,Neutral
36,37,7,37,as,0.0,Neutral
37,38,7,38,"well,",0.2732,Positive
38,39,7,39,but,0.0,Neutral
39,40,7,40,not,0.0,Neutral
40,41,7,41,all.,0.0,Neutral
41,42,7,42,For,0.0,Neutral
42,43,7,43,"example,",0.0,Neutral
43,44,7,44,some,0.0,Neutral
44,45,7,45,birds,0.0,Neutral
45,46,7,46,do,0.0,Neutral
46,47,7,47,not,0.0,Neutral
47,48,7,48,preen,0.0,Neutral
48,49,7,49,their,0.0,Neutral
49,50,7,50,feathers,0.0,Neutral
50,51,7,51,at,0.0,Neutral
51,52,7,52,all.,0.0,Neutral
52,53,7,53,This,0.0,Neutral
53,54,7,54,problem,-0.4019,Negative
54,55,7,55,is,0.0,Neutral
55,56,7,56,most,0.0,Neutral
56,57,7,57,common,0.0,Neutral
57,58,7,58,in,0.0,Neutral
58,59,7,59,birds,0.0,Neutral
59,60,7,60,that,0.0,Neutral
